ID Cliente;Vendedor;Zona;País;Tipo de producto;Canal de venta;Prioridad;Fecha pedido;ID Pedido;Fecha envío;Unidades;Precio Unitario;Coste unitario;Importe venta total;Importe Coste total
C4857;1728180629;Asia;Indonesia;Cárnicos;Online;Alta;44532;485770642;44545;9183;47,45;31,79;392316,6;262839,72
C5362;7016997120;África;Iraq;Bebida;Online;Alta;44163;536287581;44193;8268;205,7;117,11;341462;194402,6
C8517;369641293;Asia;Singapore;Cereales;Online;Crítica;44654;851753556;44693;1660;154,06;90,93;1105688,62;652604,61
C8103;1757460678;Asia;South Korea;Verduras;Online;Media;44331;810342395;44347;7177;668,27;502,54;3119484,36;2345856,72
C3105;8532074651;África;Lebanon;Doméstico;Online;Baja;44799;310540425;44805;4668;9,33;6,92;9432,63;6996,12
C2211;5733568563;Asia;Myanmar;Frutas;Online;Alta;44158;221146476;44196;1011;109,28;35,84;559513,6;183500,8
C1312;8763042782;Asia;Vietnam;Ropa;Online;Alta;44827;131271874;44831;5120;9,33;6,92;27383,55;20310,2
C6003;1572569653;África;Jordan;Frutas;Online;Baja;44676;600340449;44714;2935;651,21;524,96;1582440,3;1275652,8
C9080;6748837835;Australia y Oceanía;Palau;Material de oficina;Offline;Baja;44854;908088529;44887;2430;205,7;117,11;1771282,7;1008434,21
C4045;1725865164;Centroamérica y Caribe;Antigua and Barbuda ;Cereales;Offline;Crítica;44047;404564940;44071;8611;81,73;56,67;695767,49;482431,71
C7601;2612610765;Australia y Oceanía;Papua New Guinea;Cuidado personal;Offline;Baja;44217;760131013;44224;8513;109,28;35,84;678082,4;222387,2
C1154;1245533777;Centroamérica y Caribe;El Salvador;Ropa;Offline;Media;44867;115460574;44884;6205;47,45;31,79;369303,35;247421,57
C7315;4013523131;África;Republic of the Congo;Bebida;Offline;Baja;44600;731539952;44601;7783;421,89;364,69;2691236,31;2326357,51
C4396;5422401416;Australia y Oceanía;Vanuatu;Cárnicos;Online;Crítica;44776;439667975;44825;6379;109,28;35,84;781789,12;256399,36
C2914;1753066610;Asia;Bangladesh;Ropa;Offline;Baja;44815;291455972;44820;7154;205,7;117,11;472904,3;269235,89
C5088;8563491493;África;Burundi;Cereales;Offline;Baja;44805;508827769;44817;2299;154,06;90,93;930368,34;549126,27
C9340;2241174797;África;South Sudan;Verduras;Online;Media;43938;934019696;43958;6039;47,45;31,79;456848,6;306074,12
C5795;3619747332;África;Mozambique;Bebida;Online;Baja;44160;579580581;44177;9628;421,89;364,69;2680267,17;2316875,57
C7783;1727296335;Centroamérica y Caribe;Saint Kitts and Nevis ;Cárnicos;Online;Crítica;44435;778371751;44442;6353;154,06;90,93;1006165,86;593863,83
C2335;814329296;África;Rwanda;Verduras;Offline;Media;44393;233567035;44425;6531;47,45;31,79;119099,5;79792,9
C8686;3208474114;África;Rwanda;Bebida;Online;Alta;44858;868652760;44903;2510;154,06;90,93;565554,26;333804,03
C1774;9737673189;Europa;Moldova ;Verduras;Offline;Baja;44188;177427756;44227;3671;205,7;117,11;292916,8;166764,64
C6740;9271599815;Europa;Austria;Cereales;Offline;Baja;44022;674003350;44042;1424;109,28;35,84;460287,36;150958,08
C4428;5022078709;Europa;Spain;Ropa;Offline;Baja;44577;442803370;44610;4212;255,28;159,42;640497,52;399984,78
C7885;2618035892;Asia;China;Alimento infantil;Online;Crítica;44131;788564145;44166;2509;437,2;263,33;1669666,8;1005657,27
C3863;8454827072;África;Qatar;Cosméticos;Online;Media;44763;386334502;44784;3819;81,73;56,67;627604,67;435168,93
C2314;719362323;Europa;Georgia;Cuidado personal;Online;Crítica;44522;231475770;44523;7679;668,27;502,54;438385,12;329666,24
C4896;1728180629;Asia;Kazakhstan;Doméstico;Online;Media;44214;489661777;44238;656;81,73;56,67;110172,04;76391,16
C9468;8629616239;África;Namibia;Cuidado personal;Offline;Baja;44791;946878850;44839;1348;421,89;364,69;2272299,54;1964220,34
C5594;1722204359;Centroamérica y Caribe;Jamaica;Cárnicos;Offline;Baja;44743;559425818;44765;5386;154,06;90,93;66399,86;39190,83
C6039;9590202824;África;Syria;Verduras;Offline;Media;44795;603914010;44805;431;9,33;6,92;10953,42;8124,08
C6272;8631296001;África;Tanzania;Frutas;Offline;Crítica;44251;627267253;44263;1174;255,28;159,42;1107915,2;691882,8
C6967;1753063633;África;Angola;Alimento infantil;Online;Alta;44652;696721875;44693;4340;81,73;56,67;301093,32;208772,28
C9498;296075355;Asia;China;Cuidado personal;Offline;Baja;44030;949826705;44080;3684;81,73;56,67;407914,43;282839,97
C2444;7822806244;Europa;Hungary;Cuidado personal;Offline;Baja;44742;244443070;44745;4991;668,27;502,54;721731,6;542743,2
C2087;6145616080;Europa;Norway;Doméstico;Offline;Alta;44590;208744800;44595;1080;421,89;364,69;2868008,22;2479162,62
C2912;1753644473;Australia y Oceanía;Australia;Cárnicos;Offline;Crítica;44660;291218221;44683;6798;668,27;502,54;2689786,75;2022723,5
C9106;3405575936;África;Nigeria;Doméstico;Offline;Media;44614;910662162;44625;4025;651,21;524,96;4346175,54;3503583,04
C3061;4574024066;Asia;Thailand;Material de oficina;Online;Media;44264;306187951;44303;6674;9,33;6,92;53041,05;39340,2
C3872;1098164835;Asia;Taiwan;Frutas;Offline;Alta;44090;387219417;44101;5685;154,06;90,93;621323,98;366720,69
C8834;617182482;Asia;India;Verduras;Online;Baja;44717;883492887;44717;4033;47,45;31,79;81756,35;54774,17
C6950;3018556566;Europa;Romania;Bebida;Offline;Baja;44310;695057189;44324;1723;437,2;263,33;345388;208030,7
C1422;2629601928;Australia y Oceanía;East Timor;Cosméticos;Online;Baja;44309;142273652;44332;790;205,7;117,11;62327,1;35484,33
C5158;5291065586;Europa;Bosnia and Herzegovina;Cereales;Online;Baja;44740;515816104;44779;303;81,73;56,67;111071,07;77014,53
C9266;5503935869;Europa;Ireland;Cuidado personal;Offline;Baja;44726;926670873;44759;1359;668,27;502,54;1396016,03;1049806,06
C5561;1627725505;Europa;Croatia;Doméstico;Online;Baja;44062;556136786;44079;2089;255,28;159,42;677257,84;422941,26
C9058;8194403741;África;Iraq;Alimento infantil;Online;Baja;44779;905825173;44795;2653;651,21;524,96;159546,45;128615,2
C8476;1922715376;Europa;Malta;Material de oficina;Online;Crítica;44354;847659862;44399;245;421,89;364,69;1724264,43;1490488,03
C6738;696914838;Europa;Ireland;Cárnicos;Offline;Baja;44587;673877179;44613;4087;255,28;159,42;111046,8;69347,7
C7470;9170944989;África;Madagascar;Alimento infantil;Online;Baja;44818;747025954;44846;435;437,2;263,33;3311790;1994724,75
C1499;8243619283;Europa;Austria;Cosméticos;Online;Media;44531;149967515;44557;7575;81,73;56,67;67345,52;46696,08
C7358;7757476237;África;Sierra Leone;Cuidado personal;Offline;Crítica;43878;735875689;43915;824;651,21;524,96;4904262,51;3953473,76
C3782;2883652611;Europa;Netherlands;Material de oficina;Online;Crítica;44205;378236806;44245;7531;437,2;263,33;907190;546409,75
C6208;7941566665;Europa;Croatia;Cosméticos;Offline;Alta;44392;620849692;44395;2075;152,58;97,44;132592,02;84675,36
C8278;6626839971;Centroamérica y Caribe;Trinidad and Tobago;Snacks;Offline;Baja;44511;827825677;44519;869;668,27;502,54;4913789,31;3695176,62
C4335;1757460678;Asia;South Korea;Doméstico;Offline;Crítica;44260;433588588;44283;7353;421,89;364,69;2954495,67;2553924,07
C2928;1754056123;Australia y Oceanía;Samoa ;Cárnicos;Offline;Alta;44524;292874753;44555;7003;651,21;524,96;1512109,62;1218957,12
C4307;1724012222;Europa;Albania;Material de oficina;Offline;Baja;44773;430733001;44775;2322;9,33;6,92;73203,18;54294,32
C4925;8590095131;África;Cape Verde;Frutas;Online;Media;44623;492524659;44645;7846;47,45;31,79;244130,25;163559,55
C1939;2265934598;Europa;Italy;Bebida;Online;Baja;44356;193923556;44367;5145;47,45;31,79;370821,75;248438,85
C6709;4798411021;Europa;Hungary;Bebida;Offline;Baja;44403;670916020;44410;7815;255,28;159,42;1655746,08;1033998,12
C4298;1726613258;Asia;Maldives;Alimento infantil;Offline;Crítica;44821;429800879;44853;6486;668,27;502,54;2553459,67;1920205,34
C2971;1369530368;África;Mali;Doméstico;Offline;Alta;44767;297189462;44792;3821;81,73;56,67;777334,03;538988,37
C2700;1755152756;África;Yemen;Cuidado personal;Online;Media;44069;270005595;44078;9511;152,58;97,44;805469,82;514385,76
C8654;4649154873;Asia;North Korea;Snacks;Offline;Baja;44788;865485608;44814;5279;205,7;117,11;2032727,4;1157281,02
C8711;0931108724;Asia;Uzbekistan;Cereales;Offline;Alta;44436;871178328;44436;9882;154,06;90,93;632262,24;373176,72
C4949;8126839347;Europa;Latvia;Verduras;Online;Baja;44846;494945085;44871;4104;152,58;97,44;879471,12;561644,16
C9149;4555392273;Asia;Singapore;Snacks;Offline;Crítica;44345;914959704;44371;5764;668,27;502,54;3146883,43;2366460,86
C2297;291606520;Europa;Lithuania;Doméstico;Online;Baja;44537;229708516;44584;4709;47,45;31,79;371106,45;248629,59
C2079;9096888283;África;Senegal;Bebida;Offline;Alta;44565;207990348;44581;7821;154,06;90,93;617626,54;364538,37
C4389;9951692654;África;South Sudan;Verduras;Offline;Crítica;44762;438916528;44791;4009;255,28;159,42;2352915,76;1469374,14
C5819;446740566;Europa;Bulgaria;Alimento infantil;Online;Alta;44042;581910884;44059;9217;421,89;364,69;597818,13;516765,73
C8167;7908659369;África;Seychelles ;Cárnicos;Offline;Alta;44596;816709744;44621;1417;668,27;502,54;3753004,32;2822264,64
C4933;1727296335;Centroamérica y Caribe;Saint Kitts and Nevis ;Doméstico;Online;Alta;44067;493361937;44103;5616;255,28;159,42;2258717,44;1410548,16
C3822;9212311635;Centroamérica y Caribe;Saint Vincent and the Grenadines;Alimento infantil;Offline;Alta;44418;382228791;44465;8848;437,2;263,33;2265570,4;1364576,06
C4239;2083008516;Europa;Andorra;Cosméticos;Offline;Baja;44106;423984134;44149;5182;421,89;364,69;302073,24;261118,04
C1796;6125603197;África;Mali;Cárnicos;Offline;Crítica;44868;179614293;44888;716;81,73;56,67;701161,67;486171,93
C1804;4890170848;África;Togo;Cuidado personal;Offline;Media;43887;180418097;43905;8579;421,89;364,69;1659715,26;1434690,46
C5780;7228102428;Asia;Thailand;Cárnicos;Offline;Alta;44759;578006875;44794;3934;668,27;502,54;5995718,44;4508788,88
C6943;4394261198;Europa;Moldova ;Doméstico;Online;Alta;44440;694304454;44448;8972;255,28;159,42;2021051,76;1262128,14
C3715;7581100479;Centroamérica y Caribe;Trinidad and Tobago;Alimento infantil;Online;Alta;44210;371547162;44250;7917;47,45;31,79;96038,8;64342,96
C4222;4053755069;Asia;Japan;Bebida;Online;Media;43927;422283828;43947;2024;205,7;117,11;941694,6;536129,58
C3793;4213603497;África;Central African Republic;Cereales;Offline;Crítica;44643;379375779;44643;4578;81,73;56,67;482125,27;334296,33
C7459;1940306906;África;Azerbaijan;Cuidado personal;Online;Baja;43901;745996844;43924;5899;9,33;6,92;77746,89;57664,36
C7456;5569615718;África;Mauritania;Frutas;Offline;Baja;44612;745633351;44654;8333;152,58;97,44;192403,38;122871,84
C5720;6835434746;Europa;Portugal;Snacks;Offline;Media;44090;572084128;44140;1261;47,45;31,79;289207,75;193760,05
C9394;9913929179;África;Liberia;Bebida;Online;Baja;43973;939460504;43975;6095;9,33;6,92;11905,08;8829,92
C8321;5826920928;África;South Sudan;Frutas;Online;Alta;44481;832186305;44526;1276;9,33;6,92;67894,41;50356,84
C6549;7041593508;África;Cameroon;Frutas;Online;Baja;43889;654997861;43923;7277;421,89;364,69;677133,45;585327,45
C8829;221277241;Centroamérica y Caribe;Cuba;Cárnicos;Online;Baja;44278;882943999;44293;1605;9,33;6,92;35407,35;26261,4
C7113;1050361114;África;Malawi;Frutas;Online;Baja;44739;711386048;44788;3795;47,45;31,79;19691,75;13192,85
C3059;4467993824;Australia y Oceanía;Tuvalu;Bebida;Offline;Baja;43991;305997836;44022;415;421,89;364,69;26157,18;22610,78
C3527;6991989384;África;Burundi;Cárnicos;Offline;Alta;44031;352765691;44054;62;154,06;90,93;1289020,02;760811,31
C7079;2928001991;África;Liberia;Verduras;Online;Crítica;44392;707988440;44416;8367;154,06;90,93;460947,52;272062,56
C8482;4989792079;Asia;Turkmenistan;Verduras;Offline;Media;44755;848277413;44802;2992;668,27;502,54;5765833,56;4335915,12
C3205;8010414939;África;Uganda;Doméstico;Online;Media;44424;320556437;44464;8628;255,28;159,42;510304,72;318680,58
C9920;9508849455;África;Lebanon;Alimento infantil;Online;Alta;43896;992061841;43914;1999;651,21;524,96;4467951,81;3601750,56
C3003;7990230696;Europa;Switzerland;Material de oficina;Online;Media;44336;300342452;44371;6861;154,06;90,93;1386231,88;818188,14
C7032;7316165656;África;Kuwait;Verduras;Online;Alta;43923;703259599;43926;8998;109,28;35,84;134305,12;44047,36
C2289;8166993788;Asia;India;Ropa;Offline;Alta;44637;228987109;44665;1229;205,7;117,11;1728291,4;983958,22
C1260;1753063633;África;Angola;Cereales;Online;Crítica;44430;126011312;44457;8402;47,45;31,79;113737,65;76200,63
C8131;0931108724;Asia;Uzbekistan;Bebida;Offline;Crítica;44010;813131034;44013;2397;81,73;56,67;582407,98;403830,42
C5294;8447206997;Europa;Latvia;Cuidado personal;Offline;Crítica;44232;529457604;44260;7126;421,89;364,69;1489271,7;1287355,7
C2844;3824406397;África;Ghana;Cárnicos;Offline;Media;44532;284414851;44537;3530;47,45;31,79;217463,35;145693,57
C7077;4004526821;Europa;Poland;Bebida;Online;Crítica;44491;707739102;44497;4583;437,2;263,33;126788;76365,7
C6994;5669530902;Asia;Mongolia;Cosméticos;Online;Baja;44362;699479186;44402;290;205,7;117,11;552715,9;314674,57
C5799;2603181428;Asia;Vietnam;Cereales;Online;Crítica;44543;579996430;44570;2687;205,7;117,11;173199,4;98606,62
C7399;375385289;Europa;United Kingdom;Cereales;Online;Baja;44011;739964663;44039;842;109,28;35,84;639725,12;209807,36
C2903;4092591521;Australia y Oceanía;Vanuatu;Ropa;Offline;Baja;43982;290370213;43997;5854;9,33;6,92;54589,83;40488,92
C2125;8675779036;África;Ethiopia;Frutas;Online;Baja;44249;212511909;44249;5851;9,33;6,92;9292,68;6892,32
C2080;3197284150;África;Niger;Frutas;Online;Crítica;44755;208001077;44764;996;81,73;56,67;693070,4;480561,6
C9487;4649348113;África;Central African Republic;Cuidado personal;Offline;Alta;44021;948761546;44025;8480;152,58;97,44;1148469,66;733430,88
C9270;1802806489;África;Cape Verde;Snacks;Offline;Crítica;43848;927029645;43859;7527;81,73;56,67;359039,89;248951,31
C5053;7583378851;Norteamérica;United States of America;Cuidado personal;Offline;Crítica;44618;505354201;44663;4393;9,33;6,92;68696,79;50951,96
C5665;6353339910;África;Sudan;Frutas;Offline;Crítica;44772;566596543;44805;7363;651,21;524,96;1142873,55;921304,8
C2639;241374210;África;Republic of the Congo;Material de oficina;Offline;Crítica;44463;263930499;44505;1755;9,33;6,92;45875,61;34025,64
C1708;6703260636;Australia y Oceanía;Federated States of Micronesia;Frutas;Online;Crítica;43992;170842397;43992;4917;9,33;6,92;11466,57;8504,68
C9311;7344876903;África;South Sudan;Frutas;Offline;Baja;44326;931131064;44354;1229;9,33;6,92;66261,66;49145,84
C1089;6932261737;África;Cape Verde;Frutas;Online;Media;44496;108907830;44500;7102;668,27;502,54;3995586,33;3004686,66
C7385;7953809862;Australia y Oceanía;Palau;Doméstico;Offline;Alta;44196;738596522;44245;5979;651,21;524,96;2170482,93;1749691,68
C9749;7528941831;África;Bahrain;Material de oficina;Offline;Baja;44315;974933469;44359;3333;651,21;524,96;1087520,7;876683,2
C8429;1753063633;África;Algeria;Material de oficina;Offline;Media;44320;842967498;44330;1670;81,73;56,67;451558,25;313101,75
C8880;7600773128;África;Botswana;Cuidado personal;Online;Crítica;44872;888059937;44905;5525;668,27;502,54;4321033,82;3249423,64
C8258;2444360517;África;Seychelles ;Doméstico;Offline;Media;44166;825884616;44199;6466;651,21;524,96;5268940,11;4247451,36
C8924;5062209077;África;The Gambia;Material de oficina;Online;Alta;44720;892427861;44767;8091;651,21;524,96;670746,3;540708,8
C4939;3914822205;África;Guinea-Bissau;Material de oficina;Online;Baja;44502;493988502;44551;1030;154,06;90,93;1224006,7;722438,85
C4571;3635821238;África;Pakistan;Verduras;Offline;Baja;44759;457177865;44784;7945;421,89;364,69;3597456,03;3109711,63
C7789;6650812918;África;Mauritania;Cárnicos;Online;Media;44274;778919780;44275;8527;651,21;524,96;2931096,21;2362844,96
C1764;7494385804;Asia;Thailand;Material de oficina;Online;Alta;44065;176450574;44082;4501;421,89;364,69;1949553,69;1685232,49
C1373;1753063633;África;Afghanistan;Cárnicos;Offline;Media;44774;137319076;44824;4621;109,28;35,84;1057065,44;346680,32
C8693;8559806178;África;The Gambia;Ropa;Online;Baja;44060;869386613;44099;9673;421,89;364,69;3154049,64;2726422,44
C8508;8615817877;África;Oman;Cárnicos;Offline;Baja;44424;850827014;44437;7476;152,58;97,44;1201720,08;767437,44
C8801;4849028468;África;Burkina Faso;Snacks;Offline;Alta;44340;880126607;44354;7876;109,28;35,84;847466,4;277939,2
C9260;9687793546;África;Cameroon;Ropa;Offline;Media;43994;926084220;44017;7755;205,7;117,11;1239136,8;705470,64
C5778;9736409171;África;Burkina Faso;Cereales;Online;Alta;44763;577811181;44796;6024;152,58;97,44;1315849,92;840322,56
C3947;8203385402;Europa;Serbia;Snacks;Online;Alta;44517;394731318;44542;8624;668,27;502,54;2358324,83;1773463,66
C5565;3174608541;África;Mauritius ;Doméstico;Offline;Crítica;44403;556580960;44448;3529;651,21;524,96;3741201,45;3015895,2
C4134;6192509340;África;Liberia;Material de oficina;Offline;Crítica;44152;413408935;44178;5745;81,73;56,67;188632,84;130794,36
C7355;6393690261;Europa;Latvia;Cuidado personal;Offline;Crítica;44684;735576570;44698;2308;109,28;35,84;795995,52;261058,56
C5637;7906878641;Asia;China;Ropa;Offline;Media;44455;563757693;44501;7284;154,06;90,93;1043448,38;615868,89
C3589;1717558751;Australia y Oceanía;New Zealand;Verduras;Online;Baja;44157;358938634;44174;6773;152,58;97,44;595672,32;380405,76
C6524;4339924378;África;Sierra Leone;Snacks;Online;Crítica;44107;652418220;44123;3904;651,21;524,96;2499995,19;2015321,44
C6958;846598365;Europa;Bulgaria;Material de oficina;Online;Crítica;44768;695807778;44810;3839;651,21;524,96;5710460,49;4603374,24
C7110;4708628777;África;Somalia;Material de oficina;Offline;Crítica;44140;711031138;44172;8769;47,45;31,79;138506,55;92795,01
C5403;1219598589;Europa;Spain;Bebida;Offline;Alta;44547;540324628;44586;2919;205,7;117,11;1551800,8;883477,84
C9962;344877857;Europa;Cyprus;Cereales;Offline;Media;44804;996237075;44804;7544;109,28;35,84;647921,12;212495,36
C7116;5632346283;África;Namibia;Ropa;Online;Media;43873;711629807;43895;5929;205,7;117,11;1726234,4;982787,12
C1896;636930078;Norteamérica;Greenland;Cereales;Offline;Alta;44519;189676654;44562;8392;668,27;502,54;4865673,87;3658993,74
C4538;8997830493;África;Rwanda;Doméstico;Online;Baja;44431;453863942;44448;7281;651,21;524,96;1287442,17;1037845,92
C7979;1755651047;Centroamérica y Caribe;The Bahamas;Material de oficina;Offline;Baja;44057;797990500;44096;1977;47,45;31,79;184580,5;123663,1
C1361;369049318;Europa;Germany;Bebida;Online;Alta;43990;136167657;44003;3890;47,45;31,79;69466,8;46540,56
C1528;9671236481;Europa;Cyprus;Bebida;Online;Crítica;44450;152819240;44485;1464;152,58;97,44;788991,18;503862,24
C3526;6234746256;Europa;Luxembourg;Snacks;Online;Crítica;44757;352681577;44767;5171;205,7;117,11;517541,2;294648,76
C3108;6404101309;Australia y Oceanía;Tuvalu;Cereales;Online;Alta;43857;310803496;43894;2516;437,2;263,33;1327339,2;799469,88
C1225;933125525;Europa;Bulgaria;Cosméticos;Offline;Baja;43977;122546327;44000;3036;9,33;6,92;30770,34;22822,16
C8535;1753066610;Asia;Bangladesh;Frutas;Offline;Alta;43834;853583896;43850;3298;81,73;56,67;155368,73;107729,67
C4899;4589870962;Centroamérica y Caribe;El Salvador;Cuidado personal;Offline;Alta;44381;489902532;44408;1901;154,06;90,93;689264,44;406820,82
C6878;2971014248;Asia;China;Verduras;Online;Media;44106;687801063;44110;4474;421,89;364,69;3661161,42;3164779,82
C9238;8027909656;Asia;Mongolia;Cárnicos;Online;Media;44780;923890817;44790;8678;9,33;6,92;85901,31;63712,44
C7450;1934370288;Australia y Oceanía;Solomon Islands;Frutas;Offline;Alta;44662;745095622;44708;9207;437,2;263,33;1216727,6;732847,39
C2186;597515743;África;Mauritania;Cosméticos;Offline;Baja;44250;218651807;44274;2783;154,06;90,93;487137,72;287520,66
C3821;1757460678;Asia;South Korea;Verduras;Online;Media;44707;382108199;44755;3162;651,21;524,96;3991917,3;3218004,8
C9933;7571537800;Asia;Myanmar;Material de oficina;Online;Baja;44213;993326127;44245;6130;205,7;117,11;926267,1;527346,33
C9804;2111938705;África;Botswana;Cereales;Offline;Baja;44749;980479419;44779;4503;152,58;97,44;477727,98;305084,64
C6920;4317577520;Europa;Portugal;Snacks;Offline;Crítica;44266;692054402;44275;3131;154,06;90,93;599909,64;354081,42
C5468;8449055950;Europa;Spain;Verduras;Offline;Crítica;44516;546849906;44541;3894;47,45;31,79;33357,35;22348,37
C5839;2348836963;África;Cote d'Ivoire;Bebida;Offline;Baja;44266;583977258;44311;703;255,28;159,42;1148504,72;717230,58
C9128;4531594507;Europa;Russia;Alimento infantil;Online;Crítica;43995;912860286;44022;4499;109,28;35,84;902324,96;295930,88
C3632;155739558;Australia y Oceanía;Federated States of Micronesia;Ropa;Offline;Media;44331;363235318;44372;8257;421,89;364,69;836185,98;722815,58
C5351;4922571030;África;The Gambia;Cárnicos;Offline;Alta;44480;535151183;44524;1982;9,33;6,92;71934,3;53353,2
C8489;6740945450;Europa;Luxembourg;Frutas;Offline;Alta;44841;848969209;44849;7710;9,33;6,92;42050,31;31188,44
C7953;8700184083;África;Liberia;Frutas;Offline;Crítica;44392;795363223;44438;4507;437,2;263,33;1518832,8;914808,42
C3853;3846603205;África;Burundi;Cosméticos;Offline;Crítica;44348;385319554;44374;3474;205,7;117,11;563412,3;320764,29
C6001;442455239;África;Syria;Cereales;Offline;Alta;44502;600137031;44515;2739;109,28;35,84;269156,64;88273,92
C2414;235254850;Norteamérica;United States of America;Ropa;Offline;Alta;44797;241426980;44828;2463;255,28;159,42;2511955,2;1568692,8
C8811;4599832710;Asia;Japan;Alimento infantil;Offline;Baja;44797;881113231;44839;9840;9,33;6,92;38187,69;28323,56
C1114;1726238726;Asia;Laos;Frutas;Offline;Baja;44218;111432111;44241;4093;154,06;90,93;227392,56;134212,68
C9949;6496279638;Europa;Germany;Verduras;Online;Crítica;44483;994932448;44523;1476;81,73;56,67;22557,48;15640,92
C8144;607762383;Norteamérica;Greenland;Cuidado personal;Online;Crítica;44035;814475572;44053;276;421,89;364,69;2451180,9;2118848,9
C5232;1722204359;Centroamérica y Caribe;Jamaica;Cárnicos;Offline;Alta;44069;523235309;44094;5810;154,06;90,93;836083,62;493477,11
C6946;5565604970;Europa;Switzerland;Verduras;Online;Media;43843;694697988;43884;5427;651,21;524,96;2283793,47;1841034,72
C1726;1191814637;Europa;Sweden;Material de oficina;Online;Media;44326;172662436;44357;3507;47,45;31,79;306527;205363,4
C1212;950658376;África;Liberia;Bebida;Online;Media;44545;121239984;44574;6460;255,28;159,42;1973314,4;1232316,6
C8748;1750466557;Australia y Oceanía;Kiribati;Alimento infantil;Offline;Media;44198;874854457;44200;7730;421,89;364,69;1176651,21;1017120,41
C5882;3667044049;Europa;Malta;Cárnicos;Online;Media;44171;588242185;44206;2789;81,73;56,67;338689,12;234840,48
C1864;9500212019;Asia;Philippines;Cuidado personal;Online;Baja;43933;186451995;43980;4144;255,28;159,42;1615667,12;1008969,18
C2148;3391238372;África;Comoros;Alimento infantil;Offline;Baja;44143;214845216;44164;6329;668,27;502,54;609462,24;458316,48
C3890;7039938965;Europa;Liechtenstein;Doméstico;Offline;Baja;44041;389095675;44073;912;205,7;117,11;306904,4;174728,12
C9451;7968734768;África;Lebanon;Cereales;Online;Baja;44058;945189702;44072;1492;205,7;117,11;1789384,3;1018739,89
C3894;9659165008;Norteamérica;Greenland;Cereales;Offline;Crítica;44249;389426124;44291;8699;205,7;117,11;1068200,1;608152,23
C4484;9101412789;África;Chad;Cereales;Online;Media;44817;448416268;44819;5193;668,27;502,54;446404,36;335696,72
C2190;6769845284;Europa;Macedonia;Doméstico;Offline;Baja;44545;219083964;44566;668;437,2;263,33;2993508,4;1803020,51
